"TMNr_plus_texLett",BL
18180,"VIII, S. 375; IX, S. 276; XII, S. 210"
18182,"VIII, S. 375; XII, S. 210"
18183,"XII, S. 210"
18195,"XII, S. 212"
18202,"VIII, S. 379; IX, S. 279; XII, S. 212"
18214,"XII, S. 287"
18239,"VIII, S. 478; XII, S. 278"
18256,"IX, S. 304; X, S. 221; XII, S. 221"
18260,"X, S. 221; XII, S. 221"
18267,"XII, S. 220"
18275,"XII, S. 220"
18281,"XI, S. 226; XII, S. 223"
18291,"XII, S. 99"
18293,"IX, S. 300; XII, S. 220"
18297,"IX, S. 304; XII, S. 221"
18309,"XII, S. 220"
18310,"XII, S. 220"
18323,"XII, S. 220"
18324,"IX, S. 310; XII, S. 223"
18324,"IX, S. 310; XII, S. 223"
18324,"IX, S. 310; XII, S. 223"
18329,"XII, S. 220f."
18331,"IX, S. 307; XII, S. 223"
18332,"XII, S. 220"
18345,"XII, S. 222"
18351,"IX, S. 303; XII, S. 221"
18352,"XII, S. 223"
18367,"X, S. 219; XI, S. 224; XII, S. 220"
18374,"XI, S. 225; XII, S. 222"
18386,"XII, S. 223 (zu SB XVIII 13953)"
18390,"XII, S. 221"
18390,"XII, S. 221"
18390,"XII, S. 221"
18399,"XII, S. 222"
18405,"X, S. 224; XII, S. 223"
18406,"IX, S. 305; X, S. 222; XII, S. 222"
18406,"IX, S. 305; X, S. 222; XII, S. 222"
18410,"IX, S. 301; XII, S. 220"
18411,"XII, S. 222"
18411,"XII, S. 222"
18415,"XI, S. 226; XII, S. 223"
18420,"VIII, S. 74; XI, S. 53; XII, S. 47"
18423,"IX, S. 45; X, S. 35; XII, S. 47"
18440,"VIII, S. 74; XII, S. 47"
18444,"IX, S. 45; X, S. 35; XI, S. 53; XII, S. 47"
18463,"X, S. 116; XII, S. 115"
18464,"X, S. 116; XII, S. 115"
18486,"XII, S. 115"
1850,"XII, S. 231"
18509,"VIII, S. 40; X, S. 19; XII, S. 17f."
18511,"X, S. 19; XII, S. 18"
18532,"X, S. 19; XII, S. 18"
18538,"XII, S. 18"
18539,"VIII, S. 41; XI, S. 24; XII, S. 18"
18544a,"XII, S. 18"
18546,"XII, S. 18"
18650,"XI, S. 25; XII, S. 19"
18671,"XII, S. 259"
18684,"XI, S. 254; XII, S. 259"
18694,"VIII, S. 462; XII, S. 275"
18709,"XII, S. 276"
18709,"XII, S. 276"
18714,"XII, S. 276"
18720,"VIII, S. 465; IX, S. 344; X, S. 270; XI, S. 266; XII, S. 276"
18720,"VIII, S. 465; IX, S. 344; X, S. 270; XI, S. 266; XII, S. 276"
18722,"VIII, S. 465; XII, S. 276"
18728,"X, S. 271; XII, S. 276"
18740,"X, S. 271; XII, S. 276f."
18742,"VIII, S. 468; IX, S. 346; X, S. 271; XII, S. 277"
18751,"XII, S. 277"
18752,"VIII, S. 472; IX, S. 348; X, S. 272; XII, S. 277"
18762,"VIII, S. 417; XII, S. 261"
18762,"VIII, S. 417; XII, S. 261"
18762,"VIII, S. 417; XII, S. 261"
18811,"XII, S. 261"
18814,"VIII, S. 420; XII, S. 261"
18822,"VIII, S. 324; XI, S. 199; XII, S. 185"
18827,"XII, S. 186"
18870,"X, S. 188; XII, S. 187"
18875,"XII, S. 45f."
18876,"XII, S. 46"
18880,"XII, S. 46"
18905,"VIII, S. 73; IX, S. 44; XII, S. 46"
18922,"IX, S. 44; XII, S. 46"
18937,"XII, S. 46f."
18937,"XII, S. 46f."
18967,"VIII, S. 400; X, S. 243; XII, S. 252"
18977,"VIII, S. 70; XI, S. 52; XII, S. 44"
18980,"XI, S. 52; XII, S. 44"
18982,"VIII, S. 70; IX, S. 41; XI, S. 52; XII, S. 44"
18993,"XII, S. 44"
18995,"X, S. 33; XI, S. 52; XII, S. 51 (zu ChLA XLI 1196)"
18996,"XII, S. 44"
18997,"XII, S. 44"
18997,"XII, S. 44"
18997,"XII, S. 44"
19000,"XII, S. 44"
19006,"IX, S. 41; XII, S. 44"
19007,"IX, S. 41; XII, S. 45"
19007,"IX, S. 41; XII, S. 45"
19007,"IX, S. 41; XII, S. 45"
19012,"VIII, S. 71; IX, S. 42; X, S. 33; XII, S. 45"
19024,"VIII, S. 71; IX, S. 42; XII, S. 45"
19035,"XII, S. 45"
19042,"XII, S. 45"
19061,"XII, S. 198"
19086,"XII, S. 198"
19104,"VIII, S. 348/349; XI, S. 208; XII, S. 198"
19104,"VIII, S. 348/349; XI, S. 208; XII, S. 198"
19105,"IX, S. 262; XII, S. 198"
19131,"XII, S. 199"
19133,"VIII, S. 352; X, S. 201; XII, S. 199"
19134,"VIII, S. 352; IX, S. 263; XII, S. 199"
19255,"X, S. 58; XII, S. 62"
19265,"XII, S. 153"
19265,"XII, S. 153"
19268,"XII, S. 153"
19274,"X, S. 157; XII, S. 153"
19298,"VIII, S. 398; IX, S. 314; XII, S. 251"
19311,"VIII, S. 398; XII, S. 251"
19343,"XII, S. 71"
19361,"IX, S. 87; XII, S. 72"
19366,"XII, S. 72"
19372,"XII, S. 72"
19392,"XII, S. 72"
19394,"VIII, S. 131/132; IX, S. 87; XI, S. 81; XII, S. 72f."
19401,"VIII, S. 132; X, S. 75; XI, S. 81f.; XII, S. 73"
19412,"XII, S. 76"
19413,"VIII, S. 136; IX, S. 92; XII, S. 76"
19414,"IX, S. 92; XII, S. 76"
19415,"XII, S. 76"
19416,"XII, S. 76"
19417,"XII, S. 76"
19418,"XII, S. 76"
19419,"IX, S. 92; XII, S. 78 (zu P.Giss. Apoll. 13)"
19420,"XII, S. 76"
19421,"XII, S. 76"
19422,"VIII, S. 137; X, S. 78; XI, S. 84; XII, S. 78 (zu P.Giss. Apoll. 11)"
19423,"XII, S. 77 (zu P.Giss. Apoll. 1)"
19424,"XII, S. 76"
19425,"XII, S. 76"
19426,"IX, S. 92; XII, S. 77 (zu P.Giss. Apoll. 7)"
19427,"XII, S. 76"
19428,"XII, S. 76"
19429,"XII, S. 76"
19436,"VIII, S. 137; IX, S. 93; X, S. 78/79; XI, S. 84; XII, S. 76"
19441,"X, S. 79; XI, S. 84; XII, S. 77 (zu P.Giss. Apoll. 6)"
19446,"VIII, S. 137; XII, S. 78 (zu P.Giss. Apoll. 10)"
19455,"XII, S. 77"
19456,"VIII, S. 138; XII, S. 77"
19457,"XI, S. 84; XII, S. 78 (zu P.Giss. Apoll. 21)"
19459,"XII, S. 78 (zu P.Giss. Apoll. 36)"
19460,"XII, S. 77"
19461,"XII, S. 77"
19462,"XII, S. 77"
19463,"XII, S. 77"
19464,"XII, S. 77"
19465,"XII, S. 77"
19466,"IX, S. 94; XII, S. 77"
19467,"XI, S. 84; XII, S. 77"
19468,"X, S. 79; XII, S. 78 (zu P.Giss. Apoll. 24)"
19469,"XII, S. 77"
19472,"XII, S. 77"
19475,"XII, S. 77"
19476,"XII, S. 78 (zu P.Giss. Apoll. 42)"
19477,"XII, S. 77"
19512,"VIII, S. 294; IX, S. 228; XII, S. 168"
19513,"VIII, S. 294; XII, S. 168"
19514,"VIII, S. 294; XII, S. 168"
19518,"VIII, S. 295; XII, S. 169"
19528,"IX, S. 228; XII, S. 169"
1954,"IX, S. 164; X, S. 128; XII, S. 245"
19596,"XII, S. 42"
19608,"XII, S. 42"
19628,"XII, S. 42"
19630,"VIII, S. 68; X, S. 30; XII, S. 42"
19670,"IX, S. 85/86; XI, S. 81; XII, S. 71"
19681,"XII, S. 108"
19693,"IX, S. 146; X, S. 107; XII, S. 108"
19696,"IX, S. 146; XII, S. 108"
19697,"XII, S. 108"
19704,"XII, S. 108"
19707,"XII, S. 108"
19734,"VIII, S. 192; IX, S. 147; XI, S. 120; XII, S. 108"
19738,"VIII, S. 192; XI, S. 120; XII, S. 108"
19740,"XI, S. 120; XII, S. 108"
19741,"XI, S. 120f.; XII, S. 108"
19748,"VIII, S. 192; XI, S. 121; XII, S. 108"
19760,"VIII, S. 193; XII, S. 109"
19760,"VIII, S. 193; XII, S. 109"
19765,"VIII, S. 193; XII, S. 109"
19765,"VIII, S. 193; XII, S. 109"
19778,"XII, S. 109"
19805,"VIII, S. 189; XII, S. 105"
1983,"VIII, S. 220; XII, S. 127"
19855,"VIII, S. 190; XI, S. 114; XII, S. 105"
19860,"VIII, S. 190; IX, S. 145; XII, S. 105"
19869,"X, S. 106; XII, S. 105"
19871,"VIII, S. 190; XII, S. 105"
19874,"VIII, S. 190; XII, S. 105"
19878,"VIII, S. 190/191; XI, S. 115f.; XII, S. 105f."
19879,"VIII, S. 191; X, S. 106; XI, S. 116; XII, S. 106"
19880,"X, S. 106; XI, S. 116f.; XII, S. 106"
19885,"XI, S. 117; XII, S. 106"
19886,"X, S. 106; XI, S. 117f.; XII, S. 106"
19893,"XII, S. 107"
19894,"IX, S. 145; XII, S. 107"
19920,"XI, S. 119; XII, S. 107"
19928,"XI, S. 119; XII, S. 107"
19929,"XII, S. 107"
19988,"XII, S. 101"
20003,"XI, S. 109; XII, S. 100"
20007,"XII, S. 73"
20011,"VIII, S. 393; XII, S. 250"
20019,"XI, S. 243; XII, S. 250"
20070,"VIII, S. 36; XI, S. 21; XII, S. 16"
20082,"XII, S. 16"
20087,"XII, S. 16f."
20103b,"X, S. 18; XII, S. 17"
20110,"XI, S. 253; XII, S. 258"
20110,"XI, S. 253; XII, S. 258"
20112a,"X, S. 278; XI, S. 285; XII, S. 283"
20112b,"XII, S. 246"
20115,"VIII, S. 205; XII, S. 116"
20123,"VIII, S. 390; XI, S. 242; XII, S. 248"
20129,"VIII, S. 391; XII, S. 248"
20129,"VIII, S. 391; XII, S. 248"
20129,"VIII, S. 391; XII, S. 248"
20135,"X, S. 235; XI, S. 243; XII, S. 248"
20139,"XII, S. 249"
20140,"XII, S. 249"
20141,"XII, S. 249"
20142,"VIII, S. 392; XII, S. 249"
20142,"VIII, S. 392; XII, S. 249"
20144,"XII, S. 249"
20150,"XI, S. 243; XII, S. 249"
20160,"XII, S. 13"
20191,"X, S. 10; XI, S. 15; XII, S. 9"
20197,"VIII, S. 19; IX, S. 16/17; XII, S. 10"
20204,"VIII, S. 23; IX, S. 18; XI, S. 16f.; XII, S. 12"
20236,"VIII, S. 10f.; XI, S. 7; XII, S. 256 (zu PSI XII 1266)"
20236,"VIII, S. 10f.; XI, S. 7; XII, S. 256 (zu PSI XII 1266)"
20283,"XII, S. 243"
20285,"XI, S. 99; XII, S. 94"
20287,"XI, S. 100; XII, S. 94"
20288,"XI, S. 100; XII, S. 94"
20290,"XI, S. 100; XII, S. 94"
20291,"XII, S. 94"
20295,"XI, S. 100f.; XII, S. 94"
203,"VIII, S. 68; XII, S. 43"
20300,"XII, S. 94"
20317,"XII, S. 94"
20318,"XII, S. 94 (zu P.Kell. I 65)"
20324,"VIII, S. 240; XII, S. 137"
20342,"VIII, S. 240; XII, S. 137"
20346,"XI, S. 146; XII, S. 137"
20346,"XI, S. 146; XII, S. 137"
20356,"XI, S. 145; XII, S. 136"
20359,"X, S. 139; XII, S. 136f."
20381,"IX, S. 182; XI, S. 145; XII, S. 137"
20381,"IX, S. 182; XI, S. 145; XII, S. 137"
20381,"IX, S. 182; XI, S. 145; XII, S. 137"
20395,"XI, S. 174 ; XII, S. 155"
20404,"IX, S. 180; XII, S. 136"
20406,"IX, S. 181; XII, S. 136"
20406,"IX, S. 181; XII, S. 136"
20408,"VIII, S. 237; XII, S. 136"
20420,"VIII, S. 237; XII, S. 136"
20425,"XII, S. 136"
20431,"XII, S. 136"
20436,"VIII, S. 237; XII, S. 136"
20442,"VIII, S. 237; IX, S. 181; XI, S. 145; XII, S. 136"
20462,"XII, S. 136"
20476,"VIII, S. 238; XII, S. 136"
20496a,"XII, S. 105"
2050,"XII, S. 250"
20504,"XII, S. 231"
20547,"XI, S. 144; XII, S. 134"
20550,"VIII, S. 234; XII, S. 135"
20552,"XII, S. 135"
20575,"XII, S. 35"
20576,"XII, S. 135"
20595,"XII, S. 135"
20611,"VIII, S. 235; IX, S. 180; XI, S. 144; XII, S. 135"
20614,"VIII, S. 235; XII, S. 135"
20615,"XII, S. 135"
20631,"VIII, S. 236; XII, S. 135"
20632,"XI, S. 144; XII, S. 135"
20635,"VIII, S. 236; IX, S. 180; XII, S. 135"
20694,"XII, S. 267"
20697,"XII, S. 133"
20698,"XII, S. 133"
20704,"VIII, S. 230; IX, S. 177; XI, S. 141; XII, S. 133f."
20714,"XI, S. 142; XII, S. 134"
20722,"VIII, S. 231; XII, S. 134"
2073,"VIII, S. 397; X, S. 238; XII, S. 250f."
20757,"XI, S. 142; XII, S. 134"
20764,"VIII, S. 232; XII, S. 134"
20770,"XI, S. 142; XII, S. 134"
20771,"VIII, S. 232; XI, S. 142; XII, S. 134"
20772,"XII, S. 134"
20785,"VIII, S. 233; XII, S. 134"
20794,"IX, S. 178; XII, S. 134"
20798,"XI, S. 237; XII, S. 231"
20799,"XII, S. 231"
208,"XII, S. 169"
20800,"XI, S. 237; XII, S. 231"
20804,"XII, S. 232"
20804,"XII, S. 232"
20806,"XII, S. 232"
20813,"VIII, S. 434; X, S. 260; XII, S. 264"
2082,"X, S. 238/239; XII, S. 251"
20825,"IX, S. 70; XII, S. 59"
20848,"IX, S. 71; XII, S. 60"
20856,"IX, S. 72; XII, S. 60"
20857,"IX, S. 72; X, S. 50; XI, S. 71; XII, S. 60"
20871,"XII, S. 60"
20877,"XII, S. 60"
20882,"XII, S. 247"
20896,"XII, S. 52"
20910,"VIII, S. 90; XII, S. 56"
20936,"XII, S. 67"
20938,"XII, S. 67"
20951,"XII, S. 68"
20953,"X, S. 66; XII, S. 68"
20958,"XII, S. 68"
20966,"VIII, S. 198; XII, S. 113"
20966,"VIII, S. 198; XII, S. 113"
21002,"XII, S. 239"
21031,"X, S. 305; XI, S. 305; XII, S. 329"
21031,"X, S. 305; XI, S. 305; XII, S. 329"
21049,"VIII, S. 145; XI, S. 88; XII, S. 83"
21049,"VIII, S. 145; XI, S. 88; XII, S. 83"
21056,"XI, S. 88; XII, S. 85"
21060,"XII, S. 85"
2107,"X, S. 239; XII, S. 251"
21083,"XII, S. 85"
21126,"IX, S. 107; X, S. 85; XII, S. 88"
21141,"VIII, S. 150; XI, S. 95; XII, S. 89f."
21142,"XII, S. 247"
21147,"XII, S. 91"
2115,"X, S. 239; XII, S. 251"
21159,"XII, S. 91"
21163,"XII, S. 91"
21186,"VIII, S. 153; IX, S. 111/112; XII, S. 92"
212,"VIII, S. 44; XII, S. 19"
21229,"XII, S. 96"
21241,"VIII, S. 163; XII, S. 97"
21243,"XII, S. 97"
21249,"VIII, S. 165f.; IX, S. 121; XII, S. 97"
21263,"XII, S. 97"
21276,"IX, S. 122; XII, S. 97"
21277,"XI, S. 107; XII, S. 98"
21294,"XI, S. 129; XII, S. 117"
21305,"XII, S. 117"
21309,"VIII, S. 208; XII, S. 117"
21319,"VIII, S. 208; XII, S. 118"
21331,"XII, S. 120"
21332,"VIII, S. 211; XII, S. 120"
21350,"VIII, S. 212; XII, S. 120"
21359,"XII, S. 124"
21367,"XII, S. 242"
21367,"XII, S. 242"
21374,"IX, S. 163; XI, S. 133; XII, S. 124"
21375,"VIII, S. 217; XI, S. 133; XII, S. 124"
21375,"VIII, S. 217; XI, S. 133; XII, S. 124"
21375,"VIII, S. 217; XI, S. 133; XII, S. 124"
21386,"VIII, S. 219; XI, S. 134; XII, S. 124"
2139,"XII, S. 251"
21404,"XII, S. 118"
21410,"VIII, S. 210; IX, S. 158; XI, S. 130; XII, S. 118"
21421,"VIII, S. 210; XII, S. 119"
21422,"VIII, S. 210; XII, S. 119"
21424,"VIII, S. 210; XII, S. 119"
21437,"IX, S. 172; X, S.132; XII, S. 130"
21452,"XII, S. 132"
21455,"IX, S. 174; XI, S. 139; XII, S. 132"
21509,"X, S. 40; XII, S. 53"
21534,"VIII, S. 229; XII, S. 132"
21547,"XII, S. 132"
21565,"VIII, S. 230; XII, S. 133"
2157,"X, S. 240; XII, S. 251"
21580,"IX, S. 183; X, S. 141; XII, S. 138"
21591,"VIII, S. 242; XII, S. 138"
21597,"VIII, S. 242; v; XII, S. 138"
21606,"X, S. 64; XI, S. 74; XII, S. 65"
21616,"XII, S. 162"
21620,"XII, S. 153"
21653,"XII, S. 235"
21678,"XII, S. 4"
21688,"XII, S. 4"
21688,"XII, S. 4"
21719,"XII, S. 50 (zu ChLA IX 401)"
2172,"X, S. 240; XII, S. 252"
21736,"VIII, S. 241; IX, S. 183; XII, S. 138"
21751,"XII, S. 138"
21764,"VIII, S. 243; XII, S. 138"
21764,"VIII, S. 243; XII, S. 138"
21767,"XI, S. 149; XII, S. 139"
21772,"VIII, S. 243; X, S. 141; XII, S. 139"
21785,"VIII, S. 243; X, S. 141; XII, S. 138f."
21791,"IX, S. 184; XII, S. 139"
21804,"XII, S. 138"
21815,"IX, S. 185; XI, S. 149f.; XII, S. 139"
21816,"VIII, S. 244; IX, S. 185; XII, S. 139"
21821,"VIII, S. 244f.; XII, S. 139"
21827,"VIII, S. 245; XII, S. 140"
21831,"X, S. 142; XI, S. 150; XII, S. 140"
21850,"VIII, S. 246; IX, S. 186; XI, S. 150; XII, S. 140"
21852,"XII, S. 140"
21856,"XII, S. 140"
21866,"XII, S. 140"
21907,"X, S. 143; XII, S. 140"
21911,"XII, S. 140"
21926,"VIII, S. 247; IX, S. 187; XII, S. 140"
21943,"VIII, S. 248; IX, S. 187; XII, S. 140"
21969,"XII, S. 141"
22002,"XII, S. 141"
22007,"VIII, S. 249; X, S. 144; XI, S. 152; XII, S. 141"
22012,"XI, S. 153; XII, S. 141"
22013,"XI, S. 153; XII, S. 141"
22014,"VIII, S. 250; XI, S. 153; XII, S. 141"
22015,"VIII, S. 250; XI, S. 153; XII, S. 141und 142"
22016,"XII, S. 141"
22017,"XII, S. 141"
22024,"XII, S. 142"
22041a,"VIII, S. 251; IX, S. 189 - 191; XI, S. 154f.; XII, S. 142"
22043,"IX, S. 191; X, S. 144; XI, S. 155; XII, S. 142"
22053,"XII, S. 143"
22054,"XII, S. 143"
22058,"XII, S. 143"
22063,"XII, S. 247"
22064,"XII, S. 247"
22068,"XII, S. 143"
22073,"XII, S. 143"
22077,"XII, S. 143"
22079,"VIII, S. 252; XII, S. 143"
22092,"X, S. 146; XI, S. 157; XII, S. 143"
22101,"X, S. 146; XI, S. 158; XII, S. 144"
22104,"IX, S. 192; XII, S. 144"
22120,"XI, S. 237; XII, S. 232"
22121,"XII, S. 153"
22130,"XI, S. 173; XII, S. 153"
22134,"XI, S. 173; XII, S. 154"
22144,"XI, S. 173; XII, S. 154"
22145,"XII, S. 154"
22151,"XII, S. 154"
22153,"XII, S. 154"
22154,"XII, S. 154"
22157,"XII, S. 154"
22159,"XI, S. 173; XII, S. 154"
22160,"XII, S. 154"
22161,"XII, S. 154"
22169,"VIII, S. 255; IX, S. 194; XI, S. 160; XII, S. 144"
22170,"VIII, S. 255; XII, S. 144"
22171,"XII, S. 144"
22173,"VIII, S. 255; XII, S. 145"
22173,"VIII, S. 255; XII, S. 145"
22177,"VIII, S. 255; IX, S. 194; XII, S. 145"
22177,"VIII, S. 255; IX, S. 194; XII, S. 145"
22188,"XII, S. 145"
22195,"XI, S. 135; XII, S. 126"
22196,"XII, S. 126"
22197,"XI, S. 135; XII, S. 126"
22202,"XII, S. 247"
22202,"XII, S. 247"
22204,"VIII, S. 450/451; XII, S. 269"
22206,"VIII, S. 451; XII, S. 269"
22207,"VIII, S. 451; XII, S. 269"
22207,"VIII, S. 451; XII, S. 269"
22235,"XI, S. 165; XII, S. 148"
22236,"XII, S. 148"
22255,"XII, S. 148"
22258,"XII, S. 148"
22260,"XII, S. 54"
22264,"XII, S. 54"
22265,"XII, S. 54"
22266,"XI, S. 65; XII, S. 54"
22267,"XII, S. 54"
22269,"XI, S. 65; XII, S. 54"
22271,"XII, S. 54f."
22273,"XII, S. 55"
22273,"XII, S. 55"
22275,"XII, S. 55"
2228,"X, S. 242; XII, S. 252"
22342,"X, S. 95; XII, S. 130 (zu M.Chr. 318)"
22344,"IX, S. 124; XI, S. 108; XII, S. 98"
22366,"XII, S. 98"
22424,"IX, S. 124; X, S. 95; XII, S. 98"
22425,"XII, S. 99"
22425,"XII, S. 99"
22425,"XII, S. 99"
22428,"X, S. 95; XII, S. 99"
22428,"X, S. 95; XII, S. 99"
22468,"X, S. 153; XII, S. 150"
22472,"VIII, S. 270; IX, S. 202; XII, S. 246"
22477,"XII, S. 116"
22482,"VIII, S. 270; IX, S. 202; XI, S. 169; XII, S. 150"
22489,"VIII, S. 270; IX, S. 202; X, S. 153; XI, S. 169; XII, S. 150"
22493,"VIII, S. 270; IX, S. 202; XII, S. 150"
22511,"IX, S. 204; X, S. 155; XII, S. 152"
22520,"XII, S. 152"
22526,"IX, S. 204; X, S. 155; XI, S. 171; XII, S. 152"
22527,"IX, S. 204; XI, S. 171; XII, S. 152"
22558,"X, S. 157; XII, S. 153"
22568,"X, S. 157; XI, S. 172; XII, S. 153"
22569,"X, S. 157; XII, S. 153"
22575,"XI, S. 43; XII, S. 40"
22581,"XI, S. 45; XII, S. 41"
22602,"XII, S. 41"
22602,"XII, S. 41"
22623,"VIII, S. 141; XI, S. 86; XII, S. 80"
22648,"XII, S. 43"
22654,"XI, S. 253; XII, S. 258"
22663,"XII, S. 25"
22669,"XII, S. 25"
22674,"X, S. 100; XII, S. 102"
22686,"XII, S. 232"
22694a,"XII, S. 102"
22694b,"XII, S. 102"
22694c,"XII, S. 102"
22694d,"XII, S. 102"
22694e,"XII, S. 102"
22694f,"XII, S. 102"
22694g,"XII, S. 102"
22694h,"XII, S. 102"
22703,"XII, S. 102"
22756,"X, S. 101; XI, S. 112; XII, S. 102"
22761,"VIII, S. 183; XI, S. 113; XII, S. 102"
22761,"VIII, S. 183; XI, S. 113; XII, S. 102"
22761,"VIII, S. 183; XI, S. 113; XII, S. 102"
22764,"X, S. 101; XII, S. 103"
22768,"VIII, S. 183; X, S. 101/102; XII, S. 103"
22768,"VIII, S. 183; X, S. 101/102; XII, S. 103"
22768,"VIII, S. 183; X, S. 101/102; XII, S. 103"
2277,"X, S. 242; XI, S. 246; XII, S. 252"
22811,"XII, S. 103"
22834,"VIII, S. 186; IX, S. 141; XII, S. 103"
22858,"VIII, S. 187; IX, S. 141; XII, S. 103f."
22864,"VIII, S. 188; IX, S. 142; XII, S. 104"
22865,"XII, S. 243"
22865,"XII, S. 243"
22871,"XII, S. 239"
22873,"XII, S. 104"
22873,"XII, S. 104"
22891,"VIII, S. 353; IX, S. 264; XII, S. 200"
22894,"VIII, S. 353; IX, S. 264; XII, S. 200"
22895,"IX, S. 264; XII, S. 200"
22896,"VIII, S. 353; IX, S. 264; XII, S. 200"
22911,"VIII, S. 355; IX, S. 266; XII, S. 201"
22911,"VIII, S. 355; IX, S. 266; XII, S. 201"
22917,"XII, S. 201"
22989,"XII, S. 234"
22992,"VIII, S. 445; X, S. 264; XII, S. 267"
23020,"VIII, S. 289; XII, S. 165"
23051,"IX, S. 232; XII, S. 173"
23107,"XII, S. 178"
2311,"IX, S. 99/100; XII, S. 83"
23124,"XII, S. 178"
23140,"IX, S. 240; XII, S. 179"
23187,"VIII, S. 321; X, S. 184; XII, S. 182"
23257,"XII, S. 238"
23259,"VIII, S. 322; IX, S. 244; XII, S. 182f."
23263,"X, S. 185; XI, S. 198; XII, S. 183f."
23264,"XI, S. 198; XII, S. 184"
23264,"XI, S. 198; XII, S. 184"
23278,"XII, S. 184"
23300,"XII, S. 26"
23476,"XII, S. 165"
23486,"IX, S. 374; XII, S. 289"
23489,"X, S. 285; XI, S. 292; XII, S. 291"
23499,"IX, S. 376; X, S. 285/286; XI, S. 292; XII, S. 291"
23500,"IX, S. 376; X, S. 285/286; XI, S. 292; XII, S. 291"
23501,"IX, S. 376; X, S. 285/286; XI, S. 292; XII, S. 291"
23503,"XI, S. 292; XII, S. 291"
23504,"IX, S. 376; X, S. 286; XI, S. 292; XII, S. 291"
23506,"X, S. 286; XI, S. 292; XII, S. 291"
23508,"X, S. 286; XI, S. 292; XII, S. 291"
23509,"X, S. 286; XI, S. 292; XII, S. 291"
23510,"XII, S. 291"
23517,"XII, S. 90"
23523,"VIII, S. 226; XI, S. 137; XII, S. 130"
23523,"VIII, S. 226; XI, S. 137; XII, S. 130"
23541,"XII, S. 69"
23541,"XII, S. 69"
23541,"XII, S. 69"
23550,"X, S. 68; XII, S. 69"
23566,"VIII, S. 124/125; IX, S. 83; X, S. 68; XII, S. 69"
23578,"X, S. 69; XII, S. 69"
23581,"XI, S. 79; XII, S. 69f."
23585,"XI, S. 79; XII, S. 70"
23586,"XI, S. 79; XII, S. 70"
23605,"XI, S. 176; XII, S. 156"
23631,"XI, S. 5; XII, S. 4"
23651,"XI, S. 103; XII, S. 95"
23651,"XI, S. 103; XII, S. 95"
23658,"XI, S. 173; XII, S. 154"
23660,"XII, S. 154"
23670,"XII, S. 96"
23675,"XII, S. 224"
23678,"XII, S. 224"
23693,"X, S. 226; XII, S. 225"
23693,"X, S. 226; XII, S. 225"
23693,"X, S. 226; XII, S. 225"
23704,"XII, S. 225"
23733,"XI, S. 230; XII, S. 226"
23751,"X, S. 229; XII, S. 226"
2377,"VIII, S. 195; IX, S. 149; XI, S. 123; XII, S. 110"
23775,"XII, S. 227"
23777,"XII, S. 227"
23784,"X, S. 231; XII, S. 227"
23845,"XI, S. 234; XII, S. 229"
23846,"XII, S. 229"
23848,"X, S. 233; XII, S. 229"
23866,"XII, S. 229"
23871,"XII, S. 229"
23871,"XII, S. 229"
23872,"XII, S. 229"
23875,"XII, S. 229"
23892,"X, S. 233; XI, S. 235; XII, S. 229"
23902,"XII, S. 229"
23909,"XII, S. 230"
23914b,"XII, S. 258"
23921,"XI, S. 238 (zu SB XXII 15496); XII, S. 232f. (zu SB XXII 15496)"
23922,"XII, S. 232f. (zu SB XXII 15497)"
23923,"XII, S. 232f. (zu SB XXII 15498)"
23924,"XII, S. 232f. (zu SB XXII 15499)"
23926,"XII, S. 241 (zu SB XXIV 16167)"
23927,"XII, S. 241 (zu SB XXIV 16168)"
23928,"XII, S. 241 (zu SB XXIV 16169)"
23929,"XII, S. 241 (zu SB XXIV 16170)"
23930,"XII, S. 241 (zu SB XXIV 16171)"
23958,"XII, S. 144"
23958,"XII, S. 144"
23958,"XII, S. 144"
24000,"XII, S. 296"
24033,"XII, S. 296"
24193,"XII, S. 300f."
24194,"XII, S. 301"
24195,"XI, S. 297; XII, S. 301"
24196,"XII, S. 301"
24196,"XII, S. 301"
24197,"XII, S. 301"
24199,"XII, S. 301"
2420,"XII, S. 169"
24200,"XII, S. 301"
24202,"XII, S. 301"
24210,"XII, S. 301"
24211,"XII, S. 301"
24217,"XII, S. 301"
24222,"XII, S. 301"
24223,"XII, S. 301"
24224,"XII, S. 301"
24229,"XII, S. 302"
24230,"XII, S. 302"
24231,"XII, S. 302"
24232,"XII, S. 302"
24234,"XII, S. 302"
24235,"XII, S. 302"
24237,"XII, S. 302"
24238,"XII, S. 302"
24239,"XII, S. 302 und 303"
24240,"XII, S. 302 und 303"
24242,"XII, S. 303"
24246,"XII, S. 303"
24249,"XII, S. 303"
24252,"XII, S. 303"
24265,"XII, S. 304"
24266,"XII, S. 304"
24268,"XII, S. 304"
24269,"XII, S. 304"
24271,"XII, S. 304"
24272,"XII, S. 304"
24273,"XII, S. 304"
24279,"XII, S. 305"
24325,"XII, S. 90"
24326,"XII, S. 90"
24328,"XII, S. 90"
24328,"XII, S. 90"
24341,"IX, S. 383; X, S. 289/290; XII, S. 296"
24359,"XII, S. 292"
24366,"XII, S. 294"
24367,"XII, S. 294"
24368,"XII, S. 294"
24371,"XII, S. 294"
24373,"XII, S. 294"
24418,"XII, S. 294"
24423,"XII, S. 294"
24426,"XII, S. 294"
